,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
21,1075,Caldera Brewing Company,1293153465,4.0,4.0,4.5,Jayli,American IPA,4.0,4.5,Caldera IPA,6.1,10784
22,1075,Caldera Brewing Company,1293123837,3.5,3.5,4.0,LilBeerDoctor,American IPA,3.5,3.5,Caldera IPA,6.1,10784
23,1075,Caldera Brewing Company,1293061516,4.0,4.0,4.0,clayrock81,American IPA,4.0,4.0,Caldera IPA,6.1,10784
24,1075,Caldera Brewing Company,1292778811,4.0,4.0,4.0,lstokes,American IPA,3.5,4.0,Caldera IPA,6.1,10784
25,1075,Caldera Brewing Company,1292282933,4.5,4.0,3.5,kylejohnson03,American IPA,4.0,4.5,Caldera IPA,6.1,10784
26,1075,Caldera Brewing Company,1291909316,4.0,4.0,4.0,csiewert,American IPA,3.5,3.5,Caldera IPA,6.1,10784
27,1075,Caldera Brewing Company,1291863248,4.0,4.0,4.0,beerphan,American IPA,4.0,4.0,Caldera IPA,6.1,10784
28,1075,Caldera Brewing Company,1291772007,4.5,4.0,4.0,climax,American IPA,4.0,4.5,Caldera IPA,6.1,10784
29,1075,Caldera Brewing Company,1280725041,4.0,3.5,4.5,JTahoe,American IPA,3.5,4.0,Caldera IPA,6.1,10784
30,1075,Caldera Brewing Company,1290892378,4.5,4.5,4.0,JoEBoBpr,American IPA,4.0,4.5,Caldera IPA,6.1,10784
31,1075,Caldera Brewing Company,1290186023,3.0,2.5,4.0,OWSLEY069,American IPA,3.0,3.0,Caldera IPA,6.1,10784
32,1075,Caldera Brewing Company,1289994167,4.0,4.0,5.0,AEK,American IPA,4.0,4.0,Caldera IPA,6.1,10784
33,1075,Caldera Brewing Company,1289772727,4.5,4.0,4.5,TheManiacalOne,American IPA,4.5,4.5,Caldera IPA,6.1,10784
34,1075,Caldera Brewing Company,1289066078,4.5,4.0,4.0,awalk1227,American IPA,3.5,4.0,Caldera IPA,6.1,10784
35,1075,Caldera Brewing Company,1288747230,4.0,4.0,4.5,BuckyFresh,American IPA,4.0,3.5,Caldera IPA,6.1,10784
36,1075,Caldera Brewing Company,1288594654,4.0,4.0,4.0,SamuelJackson45,American IPA,4.0,4.5,Caldera IPA,6.1,10784
37,1075,Caldera Brewing Company,1288568600,4.0,4.0,4.5,djbreezy,American IPA,4.0,4.0,Caldera IPA,6.1,10784
38,1075,Caldera Brewing Company,1288326570,5.0,4.0,4.5,wcudwight,American IPA,4.5,4.5,Caldera IPA,6.1,10784
39,1075,Caldera Brewing Company,1288222917,4.0,4.0,4.0,JoeyBeerBelly,American IPA,4.5,4.0,Caldera IPA,6.1,10784
40,1075,Caldera Brewing Company,1237945444,4.5,3.5,4.5,HopDerek,American IPA,4.0,4.0,Caldera IPA,6.1,10784
41,1075,Caldera Brewing Company,1287709770,5.0,4.0,4.0,DeanMoriarty,American IPA,4.0,4.0,Caldera IPA,6.1,10784
42,1075,Caldera Brewing Company,1287274920,4.0,3.5,4.0,xnicknj,American IPA,3.5,3.5,Caldera IPA,6.1,10784
43,1075,Caldera Brewing Company,1286137884,3.5,3.5,3.5,northyorksammy,American IPA,3.5,3.5,Caldera IPA,6.1,10784
44,1075,Caldera Brewing Company,1285793647,2.5,3.5,3.5,Bfarr,American IPA,4.0,4.0,Caldera IPA,6.1,10784
45,1075,Caldera Brewing Company,1285631508,3.5,2.5,3.5,crossovert,American IPA,3.5,4.5,Caldera IPA,6.1,10784
46,1075,Caldera Brewing Company,1285543810,4.5,4.0,4.0,emmasdad,American IPA,4.0,4.0,Caldera IPA,6.1,10784
47,1075,Caldera Brewing Company,1285394918,3.5,3.5,4.0,DoubleJ,American IPA,4.0,3.5,Caldera IPA,6.1,10784
48,1075,Caldera Brewing Company,1285377193,4.5,4.0,4.5,Beerenauslese,American IPA,4.0,4.5,Caldera IPA,6.1,10784
49,1075,Caldera Brewing Company,1284942580,4.0,4.0,4.0,chumba526,American IPA,4.0,4.5,Caldera IPA,6.1,10784
50,1075,Caldera Brewing Company,1284915166,4.0,4.5,4.0,merlin48,American IPA,4.0,4.5,Caldera IPA,6.1,10784
51,1075,Caldera Brewing Company,1284791160,3.5,3.0,3.5,htomsirveaux,American IPA,4.0,3.5,Caldera IPA,6.1,10784
52,1075,Caldera Brewing Company,1279169746,4.5,3.5,5.0,BrewsB4Shrews,American IPA,4.0,4.5,Caldera IPA,6.1,10784
53,1075,Caldera Brewing Company,1284773313,4.0,4.0,4.5,cvaypai,American IPA,3.0,4.5,Caldera IPA,6.1,10784
54,1075,Caldera Brewing Company,1284684401,4.0,4.5,4.0,elgiacomo,American IPA,3.5,4.0,Caldera IPA,6.1,10784
55,1075,Caldera Brewing Company,1284602207,4.5,4.5,4.5,cbak999,American IPA,4.0,4.5,Caldera IPA,6.1,10784
56,1075,Caldera Brewing Company,1284314205,4.5,4.0,4.0,pigdog,American IPA,4.0,4.0,Caldera IPA,6.1,10784
57,1075,Caldera Brewing Company,1284260105,4.5,3.5,3.5,irishgurl4,American IPA,4.0,4.0,Caldera IPA,6.1,10784
58,1075,Caldera Brewing Company,1284237564,4.0,4.0,4.0,barleywinefiend,American IPA,3.5,3.5,Caldera IPA,6.1,10784
59,1075,Caldera Brewing Company,1283221299,4.0,4.0,4.0,charmcityboh,American IPA,3.5,4.0,Caldera IPA,6.1,10784
60,1075,Caldera Brewing Company,1282776701,4.0,4.0,4.0,seedsofchaos,American IPA,4.0,4.0,Caldera IPA,6.1,10784
61,1075,Caldera Brewing Company,1278974127,3.5,4.5,4.0,Beerandraiderfan,American IPA,4.0,4.0,Caldera IPA,6.1,10784
62,1075,Caldera Brewing Company,1282437399,4.0,4.0,4.0,Ryan011235,American IPA,4.5,4.0,Caldera IPA,6.1,10784
63,1075,Caldera Brewing Company,1282425919,5.0,4.0,4.0,samie85,American IPA,4.5,4.0,Caldera IPA,6.1,10784
64,1075,Caldera Brewing Company,1282359216,4.5,4.0,3.5,StaveHooks,American IPA,3.5,4.0,Caldera IPA,6.1,10784
65,1075,Caldera Brewing Company,1281981701,4.0,4.0,4.0,Brent,American IPA,4.0,4.0,Caldera IPA,6.1,10784
66,1075,Caldera Brewing Company,1281829729,4.0,4.0,4.0,thecarster1,American IPA,4.0,4.0,Caldera IPA,6.1,10784
67,1075,Caldera Brewing Company,1281560681,4.5,4.0,3.5,GarrettMD,American IPA,4.0,5.0,Caldera IPA,6.1,10784
68,1075,Caldera Brewing Company,1281058518,4.0,3.5,4.0,leedorham,American IPA,3.5,3.5,Caldera IPA,6.1,10784
69,1075,Caldera Brewing Company,1281054838,4.0,4.5,4.0,hawks10,American IPA,4.0,3.5,Caldera IPA,6.1,10784
70,1075,Caldera Brewing Company,1280985927,4.0,4.0,5.0,Bubba83,American IPA,4.5,4.0,Caldera IPA,6.1,10784
71,1075,Caldera Brewing Company,1280541063,5.0,4.0,4.5,JohnQVegas,American IPA,4.5,5.0,Caldera IPA,6.1,10784
72,1075,Caldera Brewing Company,1280121771,3.0,3.0,4.0,philbertk,American IPA,3.0,2.5,Caldera IPA,6.1,10784
73,1075,Caldera Brewing Company,1279927381,4.0,3.5,4.0,sliverX,American IPA,4.0,4.5,Caldera IPA,6.1,10784
74,1075,Caldera Brewing Company,1279656760,4.5,4.0,4.0,bump8628,American IPA,4.0,4.0,Caldera IPA,6.1,10784
75,1075,Caldera Brewing Company,1279590609,4.5,5.0,4.5,bridgetowhophead,American IPA,4.0,4.0,Caldera IPA,6.1,10784
76,1075,Caldera Brewing Company,1279588546,4.5,4.0,4.5,TheHungryHiker,American IPA,4.0,4.5,Caldera IPA,6.1,10784
77,1075,Caldera Brewing Company,1279487880,4.5,4.0,4.0,nc41,American IPA,4.5,4.5,Caldera IPA,6.1,10784
78,1075,Caldera Brewing Company,1279374127,4.5,4.5,4.5,btorsdog,American IPA,4.0,4.5,Caldera IPA,6.1,10784
79,1075,Caldera Brewing Company,1278972867,4.0,3.5,4.0,jzeilinger,American IPA,4.0,4.0,Caldera IPA,6.1,10784
80,1075,Caldera Brewing Company,1278684178,3.5,4.0,4.0,BlackHaddock,American IPA,4.0,3.5,Caldera IPA,6.1,10784
81,1075,Caldera Brewing Company,1278630893,4.0,4.0,4.0,gatornation,American IPA,3.5,4.0,Caldera IPA,6.1,10784
82,1075,Caldera Brewing Company,1278462382,4.0,4.0,4.0,BeerAdvocate,American IPA,4.0,4.0,Caldera IPA,6.1,10784
83,1075,Caldera Brewing Company,1278378015,3.0,3.0,3.0,beertunes,American IPA,3.0,3.0,Caldera IPA,6.1,10784
84,1075,Caldera Brewing Company,1278312943,4.0,4.0,4.0,squaremile,American IPA,4.0,4.0,Caldera IPA,6.1,10784
85,1075,Caldera Brewing Company,1278093529,4.0,3.5,4.0,mikereaser,American IPA,4.0,4.0,Caldera IPA,6.1,10784
86,1075,Caldera Brewing Company,1278016964,4.0,3.5,3.0,thagr81us,American IPA,4.0,3.5,Caldera IPA,6.1,10784
87,1075,Caldera Brewing Company,1277424439,4.5,4.5,4.0,brauseboof,American IPA,4.5,4.5,Caldera IPA,6.1,10784
88,1075,Caldera Brewing Company,1275409131,4.5,4.5,4.5,BigMike,American IPA,4.0,4.0,Caldera IPA,6.1,10784
89,1075,Caldera Brewing Company,1277347253,4.5,4.5,3.5,trevorjn06,American IPA,4.5,4.5,Caldera IPA,6.1,10784
90,1075,Caldera Brewing Company,1277329335,4.0,4.5,4.5,therica,American IPA,4.5,4.5,Caldera IPA,6.1,10784
91,1075,Caldera Brewing Company,1277327337,4.5,4.0,4.5,zoso1967,American IPA,4.0,3.5,Caldera IPA,6.1,10784
92,1075,Caldera Brewing Company,1277179754,4.0,4.0,3.5,WYVYRN527,American IPA,4.0,4.5,Caldera IPA,6.1,10784
93,1075,Caldera Brewing Company,1277173332,3.5,3.5,4.0,barleywinefiend,American IPA,3.5,3.5,Caldera IPA,6.1,10784
94,1075,Caldera Brewing Company,1276830747,4.0,4.0,3.5,kiddynamite920,American IPA,3.5,4.0,Caldera IPA,6.1,10784
95,1075,Caldera Brewing Company,1276327213,4.5,4.5,4.5,olmatty,American IPA,4.0,5.0,Caldera IPA,6.1,10784
96,1075,Caldera Brewing Company,1275512166,4.0,4.5,4.5,scottyshades,American IPA,4.5,4.0,Caldera IPA,6.1,10784
97,1075,Caldera Brewing Company,1275388099,5.0,5.0,4.5,Freethyhops,American IPA,3.5,4.5,Caldera IPA,6.1,10784
98,1075,Caldera Brewing Company,1274584909,5.0,5.0,4.5,wolfinthemirror,American IPA,4.5,4.5,Caldera IPA,6.1,10784
99,1075,Caldera Brewing Company,1274110682,3.5,2.5,3.5,ktrillionaire,American IPA,4.0,4.0,Caldera IPA,6.1,10784
